"identifikator","nazev","ico","n_osoba_v_cele","osoba_type","osoba_jmeno","pravni_forma","nazev_pravni_formy"
"00241270","Obec Choteč","00241270",1,"osoba","MARTIN BEK","právní-forma/801","Obec"
"00237221","Obec Tišice","00237221",1,"osoba","PAVEL KONČEL","právní-forma/801","Obec"
"00243442","Obec Třebsko","00243442",1,"osoba","MARTIN ŠEFRNA","právní-forma/801","Obec"
"00640701","OBEC TRNOVÁ","00640701",1,"osoba","ZDENĚK PEKÁREK","právní-forma/801","Obec"
"00235041","Obec Tuchlovice","00235041",1,"osoba","JAROSLAV POŠTA","právní-forma/801","Obec"
"00498521","Obec Tupadly","00498521",1,"osoba","MILOSLAVA ŠULOVÁ","právní-forma/801","Obec"
"00233951","Obec Újezd","00233951",1,"osoba","ALENA FRÜHAUFOVÁ","právní-forma/801","Obec"
"00241792","Obec Únětice","00241792",1,"osoba","PAVEL SVOBODA","právní-forma/801","Obec"
"00236551","Obec Vavřinec","00236551",1,"osoba","JANA SEMERÁDOVÁ","právní-forma/801","Obec"
"00235083","Obec Velká Dobrá","00235083",1,"osoba","ZDENĚK NOSEK","právní-forma/801","Obec"
"00662313","Obec Vidim","00662313",1,"osoba","MIROSLAV FOJTÍK","právní-forma/801","Obec"
"00509868","Obec Vinařice","00509868",1,"osoba","KAREL KOUKLÍK","právní-forma/801","Obec"
"00473413","Obec Vodslivy","00473413",1,"osoba","JIŘÍ CHLUMSKÝ","právní-forma/801","Obec"
"00241822","Obec Vonoklasy","00241822",1,"osoba","TOMÁŠ BENEŠ","právní-forma/801","Obec"
"00235920","Obec Vrbčany","00235920",1,"osoba","ŠÁRKA JELÍNKOVÁ","právní-forma/801","Obec"
"00241016","Obec Všestary","00241016",1,"osoba","JAROMÍR JECH","právní-forma/801","Obec"
